AMEX,15,2,34,34,F
AMEX,15,2,37,37,F
CF,16,4,0000,0000,F
KC,16,8,00000725,00000725,F
CF,16,4,0000,0000,F
YOUME,16,4,0001,0001,F
ORICO,16,5,04135,04135,F
OC,16,2,10,10,F
VISA,16,6,200801,200801,F
VISA,16,8,35282191,35282191,F
VISA,16,8,35282250,35282250,F
VISA,16,8,35282326,35282326,F
VISA,16,8,35282352,35282352,F
VISA,16,8,35282362,35282362,F
VISA,16,8,35289037,35289037,F
VISA,16,6,354074,354074,F
VISA,16,6,354174,354174,F
VISA,16,6,354286,354286,F
VISA,16,4,3581,3581,F
VISA,16,4,3583,3583,F
VISA,16,6,358403,358403,F
VISA,16,6,358440,358440,F
VISA,16,4,3585,3585,F
VISA,16,6,358600,358600,F
VISA,16,6,358622,358622,F
VISA,16,6,358742,358742,F
VISA,16,6,358744,358744,F
VISA,16,5,35875,35875,F
VISA,16,6,358760,358760,F
VISA,16,6,358780,358780,F
AMEX,16,4,3777,3777,T
JCB,16,6,453898,453898,F
VISA2,16,4,4566,4566,F
VISA4,16,6,456682,456682,F
VISA2,16,4,4986,4986,F
VISA,16,5,49863,49863,F
VISA4,16,6,498656,498656,F
VISA4,16,6,498678,498678,F
VISA4,16,6,498682,498682,F
VISA2,16,4,5208,5208,F
VISA4,16,6,520856,520857,F
VISA4,16,6,520878,520878,F
VISA4,16,6,520882,520882,F
VISA2,16,4,5296,5296,F
VISA4,16,6,543591,543591,F
VISA,16,6,690009,690009,F
VISA,16,6,690101,690101,F
VISA,16,6,692235,692235,F
VISA,16,5,69500,69500,F
VISA,16,6,699876,699876,F
VISA,16,4,7200,7200,F
VISA,16,6,901101,901101,F
VISA,16,6,901401,901401,F
VISA,16,4,9880,9880,F
